"participant","word","item_number","item_set","item_condition","obstruent_sequence","vowel_type","vowel_length","cons_length","ratio","C1_MoA","C2_MoA","voicing_proportion","n_frames"
1,food#poisoning,1,1,assimilation,dp,long,0.11294702098310154,0.08741789980198955,0.773972602739726,plosive,plosive,1,27
1,boot#polish,2,1,voiceless,dp,long,0.11216409695861948,0.0894560282492057,0.7975460122699385,plosive,plosive,1,27
1,food#bank,3,1,voiced,dp,long,0.14143845775812686,0.10286433291500141,0.7272727272727277,plosive,plosive,0.8064516129032258,31
1,food#waste,4,1,sonorant,dp,long,0.14193034833965118,0.07470018333665857,0.5263157894736845,plosive,plosive,0.43478260869565216,23
1,speed#painting,5,2,assimilation,dp,long,NA,NA,NA,plosive,plosive,NA,NA
1,seat#pads,6,2,voiceless,dp,long,0.12340398215975132,0.10039646006217057,0.8135593220338984,plosive,plosive,0.12903225806451613,31
1,speed#boat,7,2,voiced,dp,long,0.10561263793262499,0.09519033813664224,0.9013157894736841,plosive,plosive,0.75,28
1,speed#limit,8,2,sonorant,dp,long,0.09972871041775275,0.08031842449751897,0.8053691275167784,plosive,plosive,0.4583333333333333,24
1,toad#pond,9,3,assimilation,dp,long,0.1491783069784205,0.11081817089825524,0.742857142857143,plosive,plosive,0.7058823529411765,34
1,coat#pocket,10,3,voiceless,dp,long,0.12367058467360453,0.09590780035912189,0.7755102040816326,plosive,plosive,0,28
1,code#breaker,11,3,voiced,dp,long,0.12709165640144418,0.0870813201269155,0.6851851851851855,plosive,plosive,1,26
1,code#word,12,3,sonorant,dp,long,0.1472117044388238,0.07428738788811012,0.5046296296296293,plosive,plosive,0.30434782608695654,23
1,shade#plant,13,4,assimilation,dp,long,0.16318508215395902,0.10879005476930598,0.6666666666666664,plosive,plosive,0.48484848484848486,33
1,skate#park,14,4,voiceless,dp,long,0.1431789869501885,0.08811014581550058,0.6153846153846152,plosive,plosive,0,26
1,spade#beard,15,4,voiced,dp,long,NA,NA,NA,plosive,plosive,NA,NA
1,spade#work,16,4,sonorant,dp,long,0.17839717466753335,0.09116331392702148,0.511013215859031,plosive,plosive,0.42857142857142855,28
1,speed#freak,17,5,assimilation,df,long,0.10475317093472519,0.09319420034882447,0.889655172413793,plosive,fricative,0.42857142857142855,28
1,seat#frame,18,5,voiceless,df,long,0.16196621927888155,0.10856225816873577,0.6702771642882386,plosive,fricative,0.3333333333333333,33
1,seed#vault,19,5,voiced,df,long,NA,NA,NA,plosive,fricative,NA,NA
1,speed#walking,20,5,sonorant,df,long,0.10170238047612612,0.06527167702199138,0.6417910447761194,plosive,fricative,1,19
1,food#fight,21,6,assimilation,df,long,0.10316081969034854,0.08749082176270065,0.8481012658227847,plosive,fricative,0,27
1,boot#faced,22,6,voiceless,df,long,0.13360441858080346,0.13755721202993967,1.0295857988165682,plosive,fricative,0.6428571428571429,42
1,food#vendor,23,6,voiced,df,long,NA,NA,NA,plosive,fricative,NA,NA
